,All Banks,"Small
(0, 1.384B)","Large (non-GSIB)
[1.384B, )",GSIB
Aggregate Loss,1.8T,117.4B,1.7T,0
Bank-Level Loss,24.9M,19.4M,226.6M,
,(507.7),(27.0),(4980.2),
Share RMBS,7.3,7.5,6.3,
,(16.7),(16.8),(16.0),
Share Treasury and Other,3.7,3.3,5.8,
,(11.4),(11.5),(11.1),
Share Residential Mortgage,56.5,58.0,49.4,
,(21.8),(21.4),(22.4),
Share Other Loan,20.3,19.1,26.9,
,(15.5),(14.7),(18.2),
Loss/Asset,7.9,8.0,7.5,
,(2.6),(2.7),(2.5),
Uninsured Deposit/MM Asset,95.0,95.5,91.0,
,(15.4),(14.9),(16.7),
Number of Banks,"4,844","4,092",752,0
